Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,MPHE-09Y--,PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,Physical Education,,,Regular,12,,35,,29,,1.0
,,,,,,,,23,,,,,
,MPHED10---,PHYSICAL AND HEALTH EDUCATION 10,Physical Education,,,Regular,16,,16,,29,,2.0
,,,,,,,,0,,,,,
,MPHED10--L,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,Physical Education,,,Regular,42,,42,,29,,2.0
,,,,,,,,0,,,,,
,MPHED10B--,PHYSICAL AND HEALTH EDUCATION 10 Boys,Physical Education,,,Regular,75,,75,,29,,5.0
,,,,,,,,0,,,,,
,MPHED10G--,PHYSICAL AND HEALTH EDUCATION 10 Girls,Physical Education,,,Regular,69,,69,,29,,4.0
,,,,,,,,0,,,,,
,MPREC11---,PRE-CALCULUS 11,Mathematics,,,Regular,183,,184,,29,,7.0
,,,,,,,,1,,,,,
,MPREC11H--,PRE-CALCULUS 11 HONOURS,Mathematics,,,Regular,30,,30,,29,,1.0
,,,,,,,,0,,,,,
,MPREC12---,PRE-CALCULUS 12,Mathematics,,,Regular,143,,154,,29,,5.0
,,,,,,,,11,,,,,
,MPREC12H--,PRE-CALCULUS 12 HONOURS,Mathematics,,,Regular,30,,30,,29,,1.0
,,,,,,,,0,,,,,
,MSC--09---,SCIENCE 9,Science,,,Regular,142,,142,,23,,6.0
,,,,,,,,0,,,,,
,MSC--09C--,SCIENCE 9: CHALLENGE,Science,,,Regular,45,,45,,23,,2.0
,,,,,,,,0,,,,,
,MSC--,SCIENCE 10,Science,,,Regular,167,,167,,23,,7.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2025-2026,,,,,,,,,
Page 9,,,,,,,,,,,,"April 29, 2025",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,10---,,,,,,,,,,,,
,MSC--10C--,SCIENCE 10: CHALLENGE,Science,,,Regular,45,,45,,23,,2.0
,,,,,,,,0,,,,,
,MSJ--12---,SOCIAL JUSTICE 12,Social Studies,,,Regular,32,,41,,24,,1.0
,,,,,,,,9,,,,,
,MSP--09---,SPANISH 9,Modern Languages,,,Regular,37,,56,,29,,2.0
,,,,,,,,19,,,,,
,MSP--10---,SPANISH 10,Modern Languages,,,Regular,33,,41,,29,,1.0
,,,,,,,,8,,,,,
,MSP--11---,SPANISH 11,Modern Languages,,,Regular,27,,33,,29,,1.0
,,,,,,,,6,,,,,
,MSP--12---,SPANISH 12,Modern Languages,,,Regular,13,,16,,29,,1.0
,,,,,,,,3,,,,,
,MSPLG10---,SPOKEN LANGUAGE 10,English,,,Regular,30,,30,,24,,1.0
,,,,,,,,0,,,,,
,MSPLG11---,SPOKEN LANGUAGE 11,English,,,Regular,6,,6,,24,,1.0
,,,,,,,,0,,,,,
,MSS--09---,SOCIAL STUDIES 9,Social Studies,,,Regular,140,,140,,24,,6.0
,,,,,,,,0,,,,,
,MSS--09C--,SOCIAL STUDIES 9 CHALLENGE,Social Studies,,,Regular,45,,45,,24,,2.0
,,,,,,,,0,,,,,
